N,P,K,temperature,humidity,ph,rainfall,label
112,57,53,29.76,87.65,6.08,249.74,Rice
113,57,53,28.77,87.3,6.12,239.26,Rice
108,56,49,29.16,86.64,5.96,249.4,Rice
111,58,49,28.73,88.17,5.98,246.13,Rice
110,57,50,29.93,87.98,5.99,247.47,Rice
109,58,48,28.34,88.3,6.17,245.51,Rice
111,57,49,28.64,87.31,6.21,246.03,Rice
108,58,51,28.66,88.92,6.2,247.79,Rice
110,57,52,29.49,87.28,6.08,241.68,Rice
109,59,54,28.96,89.51,6.14,243.06,Rice
112,61,51,29.78,84.07,6.18,245.26,Rice
111,58,48,28.89,88.54,6.25,243.45,Rice
110,56,53,29.16,87.21,6.15,245.29,Rice
113,56,51,28.8,85.8,6.13,245.78,Rice
112,57,49,28.79,87.49,6.02,244.52,Rice
112,61,52,29.13,87.89,5.91,244.92,Rice
112,62,51,29.15,87.95,5.98,248.43,Rice
113,59,50,29.7,85.9,6.16,251.57,Rice
110,56,52,28.75,85.67,6.11,241.81,Rice
112,56,55,28.61,87.52,6.18,241.31,Rice
112,60,48,29.09,88.39,6.18,241.29,Rice
109,59,52,29.13,88.52,6.03,245.7,Rice
112,56,55,29.24,86.21,6.17,242.08,Rice
113,60,50,29.48,88.62,6.18,250.69,Rice
111,56,50,28.59,87.88,6.13,245.83,Rice
113,58,54,28.87,92.08,6.16,242.43,Rice
109,58,51,29.36,88.71,6.09,242.46,Rice
108,57,53,29.11,86.13,6.12,246.16,Rice
110,58,52,28.43,88.54,6.16,248.25,Rice
114,55,50,29.26,88.77,6.15,256.56,Rice
113,60,53,29.33,87.53,6.18,242.68,Rice
111,57,52,30.16,85.2,6.17,240.16,Rice
111,60,52,28.46,86.93,6.17,242.81,Rice
112,58,50,30.07,88.95,5.9,245.56,Rice
110,59,50,28.94,88.76,6.19,241.4,Rice
111,57,50,29.88,88.61,5.97,247.75,Rice
116,60,48,28.76,89.9,6.03,246.33,Rice
113,56,51,27.38,86.46,6.07,241.26,Rice
115,55,51,29.07,90.16,5.96,248.49,Rice
112,56,52,29.1,87.1,6.11,243.84,Rice
112,59,55,28.38,91.2,5.9,244.54,Rice
113,58,50,28.9,87.26,6.04,247.55,Rice
112,56,53,29.15,89.22,6.16,242.51,Rice
110,59,53,28.99,88.18,6.23,243.23,Rice
113,57,51,29.55,89.24,6.18,248.92,Rice
112,59,51,29.16,87.8,6.11,246.79,Rice
110,62,49,28.39,89.74,6.18,246.87,Rice
113,57,50,29.04,86.98,6.2,244.56,Rice
110,57,52,28.72,86.77,6.12,245.73,Rice
110,57,52,28.28,85.89,6.03,244.36,Rice
112,60,53,28.92,87.97,6.0,244.94,Rice
111,58,50,29.26,90.3,6.09,246.21,Rice
113,57,52,29.01,88.15,6.02,245.07,Rice
112,60,53,30.08,86.85,6.19,245.55,Rice
116,56,50,28.7,84.81,6.05,242.72,Rice
112,58,55,29.48,87.13,6.01,246.48,Rice
109,61,54,28.77,85.43,6.24,244.66,Rice
114,54,50,29.0,88.07,6.05,246.87,Rice
109,57,52,29.26,89.07,5.99,240.4,Rice
114,58,50,29.78,88.17,6.22,245.2,Rice
116,61,51,29.49,88.97,6.24,242.11,Rice
113,60,48,28.41,84.94,6.07,247.15,Rice
115,58,55,28.31,85.44,6.09,246.15,Rice
111,53,51,28.35,89.0,6.14,242.18,Rice
110,55,51,29.48,86.52,6.15,243.41,Rice
110,57,49,28.72,86.2,6.3,245.11,Rice
110,58,51,28.89,88.92,6.18,243.41,Rice
110,57,47,28.24,90.05,6.26,244.25,Rice
113,58,58,29.56,87.81,6.0,240.18,Rice
112,56,49,28.68,86.38,6.27,247.64,Rice
111,60,52,28.57,90.28,6.15,241.89,Rice
